question_name,question_link,type,difficulty,,,,,,
Sort the Half Sorted,https://www.geeksforgeeks.org/problems/sort-the-half-sorted2157/1?page=1&category=Sorting&sortBy=difficulty,HomeWork,Easy,,,,,,
Merge Sort,https://www.geeksforgeeks.org/problems/merge-sort/1,ClassWork,Medium,,,,,,
Count Inversions,https://www.geeksforgeeks.org/problems/inversion-of-array-1587115620/1,ClassWork,Medium,,,,,,
Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,HomeWork,Medium,,,,,,
Maximum number of partitions that can be sorted individually to make sorted,https://www.geeksforgeeks.org/problems/maximum-number-of-partitions-that-can-be-sorted-individually-to-make-sorted2926/1?page=3&category=Sorting&sortBy=difficulty,HomeWork,Medium,,,,,,
Equalize an array in minimum operations,https://www.geeksforgeeks.org/problems/equalize-an-array3405/1?page=6&category=Sorting&sortBy=difficulty,HomeWork,Medium,,,,,,
Reverse Pairs,https://leetcode.com/problems/reverse-pairs/,HomeWork,Hard,,,,,,
Smallest Positive Integer that can not be represented as Sum,https://www.geeksforgeeks.org/problems/smallest-number-subset1220/1,HomeWork,Hard,,,,,,
Sort an Array of 1 to n,https://www.geeksforgeeks.org/problems/sort-an-array-which-contains-1-to-n-values-using-mathematical-formula/1?page=2&category=Sorting&sortBy=difficulty,ClassWork,Easy,,,,,,
The Optimal Selection,https://www.geeksforgeeks.org/problems/the-optimal-selection5413/1?page=3&category=Sorting&sortBy=difficulty,HomeWork,Easy,,,,,,
Merge three sorted arrays,https://www.geeksforgeeks.org/problems/merge-three-sorted-arrays-1587115620/1?page=6&category=Sorting&sortBy=difficulty,HomeWork,Easy,,,,,,
Sorting Employees,https://www.geeksforgeeks.org/problems/sorting-employees5907/1?selectedLang=cpp,ClassWork,Easy,,,,,,
K closest point to origin,https://www.geeksforgeeks.org/problems/product-array-puzzle4634/1?page=7&category=Sorting&sortBy=difficulty,ClassWork,Easy,,,,,,
Largest Number,https://leetcode.com/problems/largest-number/,ClassWork,Easy,,,,,,
Sort Array by Increasing Frequency,https://leetcode.com/problems/sort-array-by-increasing-frequency/,ClassWork,Easy,,,,,,
Sort by Set Bit Count,https://www.geeksforgeeks.org/problems/sort-by-set-bit-count1153/1?page=2&category=Sorting&sortBy=difficulty,HomeWork,Easy,,,,,,
Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency/,HomeWork,Easy,,,,,,
Largest Even Number,https://www.geeksforgeeks.org/problems/largest-even-number3821/1?page=6&category=Sorting&sortBy=difficulty,HomeWork,Medium,,,,,,
Minimum sum,https://www.geeksforgeeks.org/problems/minimum-sum4058/1?page=7&category=Sorting&sortBy=difficulty,HomeWork,Hard,,,,,,
Marks of PCM,https://www.geeksforgeeks.org/problems/marks-of-pcm2529/1?page=9&category=Sorting&sortBy=difficulty,HomeWork,Easy,,,,,,
Sorted Array Search,https://www.geeksforgeeks.org/problems/who-will-win-1587115621/1,ClassWork,Easy,,,,,,
Search Insert Position,https://leetcode.com/problems/search-insert-position/description/?envType=problem-list-v2&envId=binary-search&difficulty=EASY,HomeWork,Easy,,,,,,
Floor in a Sorted Array,https://www.geeksforgeeks.org/problems/floor-in-a-sorted-array-1587115620/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=practice_card,ClassWork,Easy,,,,,,
Implement Lower Bound,https://www.geeksforgeeks.org/problems/implement-lower-bound/1?page=1&category=Binary%20Search&sortBy=difficulty,ClassWork,Easy,,,,,,
"First 1 in a Sorted Binary Array
",https://www.geeksforgeeks.org/problems/index-of-first-1-in-a-sorted-array-of-0s-and-1s4048/1,HomeWork,Easy,,,,,,
Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/description/,ClassWork,Easy,,,,,,
k sorted array,https://www.geeksforgeeks.org/problems/k-sorted-array1610/1?page=1&category=Binary%20Search&sortBy=difficulty,HomeWork,Medium,,,,,,
Find the closest number,https://www.geeksforgeeks.org/problems/find-the-closest-number5513/1?page=1&category=Binary%20Search&sortBy=difficulty,HomeWork,Easy,,,,,,
Missing element of AP,https://www.geeksforgeeks.org/problems/missing-element-of-ap2228/1?page=2&category=Binary%20Search&sortBy=difficulty,HomeWork,Medium,,,,,,
Find Peak Element,https://leetcode.com/problems/find-peak-element/description/,ClassWork,Medium,,,,,,
Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array/description/,ClassWork,Medium,,,,,,
Bitonic Point,https://www.geeksforgeeks.org/problems/maximum-value-in-a-bitonic-array3001/1?page=1&category=Binary%20Search&sortBy=difficulty,HomeWork,Medium,,,,,,
Closer to sort,https://www.geeksforgeeks.org/problems/closer-to-sort-1587115620/1?page=4&category=Searching&sortBy=difficulty,HomeWork,Hard,,,,,,
Sqrt(x),https://leetcode.com/problems/sqrtx/description/,ClassWork,Easy,,,,,,
Valid Perfect Square,https://leetcode.com/problems/valid-perfect-square/,ClassWork,Easy,,,,,,
First Bad Version,https://leetcode.com/problems/first-bad-version/,HomeWork,Easy,,,,,,
Guess Number Higher or Lower,https://leetcode.com/problems/guess-number-higher-or-lower/,HomeWork,Easy,,,,,,
Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/description/,HomeWork,Hard,,,,,,
Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum/description/,ClassWork,Hard,,,,,,
The Painter's Partition Problem-II,https://www.geeksforgeeks.org/problems/the-painters-partition-problem1535/1,ClassWork,Hard,,,,,,
Cube root of a number,https://www.geeksforgeeks.org/problems/cube-root-of-a-number0915/1,HomeWork,Easy,,,,,,
Allocate Minimum Pages,https://www.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1?page=4&category=Searching&sortBy=difficulty,HomeWork,Medium,,,,,,
Aggressive Cows,https://www.geeksforgeeks.org/problems/aggressive-cows/0,ClassWork,Medium,,,,,,
Find the Smallest Divisor Given a Threshold,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/description/,HomeWork,Medium,,,,,,
Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/description/,HomeWork,Medium,,,,,,
Minimum Speed to Arrive on Time,https://leetcode.com/problems/minimum-speed-to-arrive-on-time/description/,HomeWork,Medium,,,,,,
Magnetic Force Between Two Balls,https://leetcode.com/problems/magnetic-force-between-two-balls/description/,HomeWork,Medium,,,,,,
Two Sum - Pair with Given Sum,https://www.geeksforgeeks.org/problems/key-pair5616/1,ClassWork,Easy,,,,,,
"Pair with given sum in a sorted array
",https://www.geeksforgeeks.org/problems/pair-with-given-sum-in-a-sorted-array4940/1,ClassWork,Easy,,,,,,
Count pairs with given sum,https://www.geeksforgeeks.org/problems/count-pairs-with-given-sum--150253/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=practice_card,HomeWork,Medium,,,,,,
K-diff Pairs in an Array,https://leetcode.com/problems/k-diff-pairs-in-an-array/description/,ClassWork,Medium,,,,,,
Valid Pair Sum,https://www.geeksforgeeks.org/problems/valid-pair-sum--141631/1,HomeWork,Medium,,,,,,
Closest Pair Sum in an unsorted Array,https://www.geeksforgeeks.org/problems/closest-pair-sum-in-an-unsorted-array/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=practice_card,ClassWork,Medium,,,,,,
Happiest Triplet,https://www.geeksforgeeks.org/problems/happiest-triplet2921/1,ClassWork,Medium,,,,,,
Find the closest pair from two arrays,https://www.geeksforgeeks.org/problems/find-the-closest-pair-from-two-arrays4215/1,ClassWork,Medium,,,,,,
Minimize Maximum Pair Sum in Array,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array/description/,HomeWork,Medium,,,,,,
Maximum Distance Between a Pair of Values,https://leetcode.com/problems/maximum-distance-between-a-pair-of-values/description/,HomeWork,Medium,,,,,,
Find all pairs with a given sum,https://www.geeksforgeeks.org/problems/find-all-pairs-whose-sum-is-x5808/1,HomeWork,Medium,,,,,,
Search in a Row-Column sorted matrix,https://www.geeksforgeeks.org/problems/search-in-a-matrix17201720/1,ClassWork,Medium,,,,,,
Row with max 1s,https://www.geeksforgeeks.org/problems/row-with-max-1s0023/1,ClassWork,Medium,,,,,,
Container With Most Water,https://leetcode.com/problems/container-with-most-water/description/,ClassWork,Medium,,,,,,
Length of Longest Subarray With at Most K Frequency,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency/,ClassWork,Hard,,,,,,
Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii/description/,HomeWork,Hard,,,,,,
Maximum Erasure Value,https://leetcode.com/problems/maximum-erasure-value/,HomeWork,Hard,,,,,,
Longest Nice Subarray,https://leetcode.com/problems/longest-nice-subarray/,HomeWork,Hard,,,,,,
Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,ClassWork,Medium,,,,,,
Minimum Consecutive Cards to Pick Up,https://leetcode.com/problems/minimum-consecutive-cards-to-pick-up/,HomeWork,Hard,,,,,,
